"Lon, features",prediction
"-73.9549, [object Object]",0
"-74.0345, [object Object]",0
"-73.9873, [object Object]",0
"-73.9776, [object Object]",0
"-73.9722, [object Object]",0
"-74.0403, [object Object]",0
"-73.9887, [object Object]",0
"-73.979, [object Object]",0
"-73.996, [object Object]",0
"-73.9846, [object Object]",0
"-73.9869, [object Object]",0
"-73.9684, [object Object]",0
"-73.9803, [object Object]",0
"-73.7896, [object Object]",1
"-73.9167, [object Object]",0
"-73.9531, [object Object]",0
"-73.9761, [object Object]",0
"-73.9821, [object Object]",0
"-74.0039, [object Object]",0
"-74.0393, [object Object]",0
"-73.9715, [object Object]",0
"-74.0042, [object Object]",0
"-73.9844, [object Object]",0
"-74.1783, [object Object]",0
"-74.1578, [object Object]",0
"-74.1814, [object Object]",0
"-74.1816, [object Object]",0
"-73.9974, [object Object]",0
"-73.99, [object Object]",0
"-74.0094, [object Object]",0
"-73.9709, [object Object]",0
"-73.991, [object Object]",0
"-73.9876, [object Object]",0
"-74.0149, [object Object]",0
"-73.9752, [object Object]",0
"-73.7829, [object Object]",1
"-74.1782, [object Object]",0
"-73.9875, [object Object]",0
"-73.9632, [object Object]",0
"-73.9985, [object Object]",0
"-73.978, [object Object]",0
"-74.0301, [object Object]",0
"-74.0371, [object Object]",0
"-74.0037, [object Object]",0
"-73.9527, [object Object]",0
"-73.9862, [object Object]",0
"-73.9504, [object Object]",0
"-73.9871, [object Object]",0
"-73.9726, [object Object]",0
"-73.9854, [object Object]",0
"-74.0144, [object Object]",0
"-73.9703, [object Object]",0
"-73.9979, [object Object]",0
"-74.0111, [object Object]",0
"-74.0464, [object Object]",0
"-73.9588, [object Object]",0
"-73.9142, [object Object]",0
"-73.9729, [object Object]",0
"-74.0355, [object Object]",0
"-74.157, [object Object]",0
"-73.9545, [object Object]",0
"-73.9595, [object Object]",0
"-74.082, [object Object]",0
"-73.9879, [object Object]",0
"-73.9568, [object Object]",0
"-73.9944, [object Object]",0
"-73.9623, [object Object]",0
"-74.0033, [object Object]",0
"-73.9989, [object Object]",0
"-73.982, [object Object]",0
"-73.9863, [object Object]",0
"-73.966, [object Object]",0
"-74.0018, [object Object]",0
"-73.9895, [object Object]",0
"-73.9656, [object Object]",0
"-74.0076, [object Object]",0
"-73.9599, [object Object]",0
"-73.9852, [object Object]",0
"-73.9546, [object Object]",0
"-73.9491, [object Object]",0
"-73.95, [object Object]",0
"-73.9997, [object Object]",0
"-73.9749, [object Object]",0
"-73.9442, [object Object]",0
